"","Grid_ID","Property_n","Model_n","PV_n","geometry"
"1",13,66,12,13,list(c(-1.395322794133, -1.391052311587, -1.391052311587, -1.395322794133, -1.395322794133, 50.947837766956, 50.947837766956, 50.945803451191, 50.945803451191, 50.947837766956))
"2",51,133,1,1,list(c(-1.38678182904, -1.382511346493, -1.382511346493, -1.38678182904, -1.38678182904, 50.943769135426, 50.943769135426, 50.941734819661, 50.941734819661, 50.943769135426))
"3",134,193,4,4,list(c(-1.446568584693, -1.442298102147, -1.442298102147, -1.446568584693, -1.446568584693, 50.935631872367, 50.935631872367, 50.933597556602, 50.933597556602, 50.935631872367))
"4",173,138,NA,0,list(c(-1.391052311587, -1.38678182904, -1.38678182904, -1.391052311587, -1.391052311587, 50.933597556602, 50.933597556602, 50.931563240837, 50.931563240837, 50.933597556602))
"5",502,117,4,4,list(c(-1.34834748612, -1.344077003573, -1.344077003573, -1.34834748612, -1.34834748612, 50.911220083189, 50.911220083189, 50.909185767424, 50.909185767424, 50.911220083189))
"6",528,224,2,2,list(c(-1.369699898853, -1.365429416307, -1.365429416307, -1.369699898853, -1.369699898853, 50.909185767424, 50.909185767424, 50.907151451659, 50.907151451659, 50.909185767424))
"7",585,239,NA,0,list(c(-1.352617968667, -1.34834748612, -1.34834748612, -1.352617968667, -1.352617968667, 50.905117135894, 50.905117135894, 50.903082820129, 50.903082820129, 50.905117135894))
"8",650,263,15,16,list(c(-1.34834748612, -1.344077003573, -1.344077003573, -1.34834748612, -1.34834748612, 50.899014188599, 50.899014188599, 50.896979872834, 50.896979872834, 50.899014188599))
"9",674,172,NA,0,list(c(-1.391052311587, -1.38678182904, -1.38678182904, -1.391052311587, -1.391052311587, 50.89494555707, 50.89494555707, 50.892911241305, 50.892911241305, 50.89494555707))
"10",692,76,2,2,list(c(-1.3739703814, -1.369699898853, -1.369699898853, -1.3739703814, -1.3739703814, 50.892911241305, 50.892911241305, 50.89087692554, 50.89087692554, 50.892911241305))
