OBJECTID *,Shape *,Toid,Shape_Length,Shape_Area,sra_c10_r600000_f2,kW_c10_r600000_f2,sra_c20_r600000_f2,kW_c20_r600000_f2,sra_c30_r600000_f2,kW_c30_r600000_f2,sra_c40_r600000_f2,kW_c40_r600000_f2,sra_c50_r600000_f2,kW_c50_r600000_f2,sra_c60_r600000_f2,kW_c60_r600000_f2,sra_c70_r600000_f2,kW_c70_r600000_f2,sra_c80_r600000_f2,kW_c80_r600000_f2,sra_c90_r600000_f2,kW_c90_r600000_f2,sra_c100_r600000_f2,kW_c100_r600000_f2,sra_c10_r700000_f2,kW_c10_r700000_f2,sra_c20_r700000_f2,kW_c20_r700000_f2,sra_c30_r700000_f2,kW_c30_r700000_f2,sra_c40_r700000_f2,kW_c40_r700000_f2,sra_c50_r700000_f2,kW_c50_r700000_f2,sra_c60_r700000_f2,kW_c60_r700000_f2,sra_c70_r700000_f2,kW_c70_r700000_f2,sra_c80_r700000_f2,kW_c80_r700000_f2,sra_c90_r700000_f2,kW_c90_r700000_f2,sra_c100_r700000_f2,kW_c100_r700000_f2,sra_c10_r800000_f2,kW_c10_r800000_f2,sra_c20_r800000_f2,kW_c20_r800000_f2,sra_c30_r800000_f2,kW_c30_r800000_f2,sra_c40_r800000_f2,kW_c40_r800000_f2,sra_c50_r800000_f2,kW_c50_r800000_f2,sra_c60_r800000_f2,kW_c60_r800000_f2,sra_c70_r800000_f2,kW_c70_r800000_f2,sra_c80_r800000_f2,kW_c80_r800000_f2,sra_c90_r800000_f2,kW_c90_r800000_f2,sra_c100_r800000_f2,kW_c100_r800000_f2,sra_c10_r900000_f2,kW_c10_r900000_f2,sra_c20_r900000_f2,kW_c20_r900000_f2,sra_c30_r900000_f2,kW_c30_r900000_f2,sra_c40_r900000_f2,kW_c40_r900000_f2,sra_c50_r900000_f2,kW_c50_r900000_f2,sra_c60_r900000_f2,kW_c60_r900000_f2,sra_c70_r900000_f2,kW_c70_r900000_f2,sra_c80_r900000_f2,kW_c80_r900000_f2,sra_c90_r900000_f2,kW_c90_r900000_f2,sra_c100_r900000_f2,kW_c100_r900000_f2,sra_c10_r600000_f3,kW_c10_r600000_f3,sra_c20_r600000_f3,kW_c20_r600000_f3,sra_c30_r600000_f3,kW_c30_r600000_f3,sra_c40_r600000_f3,kW_c40_r600000_f3,sra_c50_r600000_f3,kW_c50_r600000_f3,sra_c60_r600000_f3,kW_c60_r600000_f3,sra_c70_r600000_f3,kW_c70_r600000_f3,sra_c80_r600000_f3,kW_c80_r600000_f3,sra_c90_r600000_f3,kW_c90_r600000_f3,sra_c100_r600000_f3,kW_c100_r600000_f3,sra_c10_r700000_f3,kW_c10_r700000_f3,sra_c20_r700000_f3,kW_c20_r700000_f3,sra_c30_r700000_f3,kW_c30_r700000_f3,sra_c40_r700000_f3,kW_c40_r700000_f3,sra_c50_r700000_f3,kW_c50_r700000_f3,sra_c60_r700000_f3,kW_c60_r700000_f3,sra_c70_r700000_f3,kW_c70_r700000_f3,sra_c80_r700000_f3,kW_c80_r700000_f3,sra_c90_r700000_f3,kW_c90_r700000_f3,sra_c100_r700000_f3,kW_c100_r700000_f3,sra_c10_r800000_f3,kW_c10_r800000_f3,sra_c20_r800000_f3,kW_c20_r800000_f3,sra_c30_r800000_f3,kW_c30_r800000_f3,sra_c40_r800000_f3,kW_c40_r800000_f3,sra_c50_r800000_f3,kW_c50_r800000_f3,sra_c60_r800000_f3,kW_c60_r800000_f3,sra_c70_r800000_f3,kW_c70_r800000_f3,sra_c80_r800000_f3,kW_c80_r800000_f3,sra_c90_r800000_f3,kW_c90_r800000_f3,sra_c100_r800000_f3,kW_c100_r800000_f3,sra_c10_r900000_f3,kW_c10_r900000_f3,sra_c20_r900000_f3,kW_c20_r900000_f3,sra_c30_r900000_f3,kW_c30_r900000_f3,sra_c40_r900000_f3,kW_c40_r900000_f3,sra_c50_r900000_f3,kW_c50_r900000_f3,sra_c60_r900000_f3,kW_c60_r900000_f3,sra_c70_r900000_f3,kW_c70_r900000_f3,sra_c80_r900000_f3,kW_c80_r900000_f3,sra_c90_r900000_f3,kW_c90_r900000_f3,sra_c100_r900000_f3,kW_c100_r900000_f3,sra_c10_r600000_f4,kW_c10_r600000_f4,sra_c20_r600000_f4,kW_c20_r600000_f4,sra_c30_r600000_f4,kW_c30_r600000_f4,sra_c40_r600000_f4,kW_c40_r600000_f4,sra_c50_r600000_f4,kW_c50_r600000_f4,sra_c60_r600000_f4,kW_c60_r600000_f4,sra_c70_r600000_f4,kW_c70_r600000_f4,sra_c80_r600000_f4,kW_c80_r600000_f4,sra_c90_r600000_f4,kW_c90_r600000_f4,sra_c100_r600000_f4,kW_c100_r600000_f4,sra_c10_r700000_f4,kW_c10_r700000_f4,sra_c20_r700000_f4,kW_c20_r700000_f4,sra_c30_r700000_f4,kW_c30_r700000_f4,sra_c40_r700000_f4,kW_c40_r700000_f4,sra_c50_r700000_f4,kW_c50_r700000_f4,sra_c60_r700000_f4,kW_c60_r700000_f4,sra_c70_r700000_f4,kW_c70_r700000_f4,sra_c80_r700000_f4,kW_c80_r700000_f4,sra_c90_r700000_f4,kW_c90_r700000_f4,sra_c100_r700000_f4,kW_c100_r700000_f4,sra_c10_r800000_f4,kW_c10_r800000_f4,sra_c20_r800000_f4,kW_c20_r800000_f4,sra_c30_r800000_f4,kW_c30_r800000_f4,sra_c40_r800000_f4,kW_c40_r800000_f4,sra_c50_r800000_f4,kW_c50_r800000_f4,sra_c60_r800000_f4,kW_c60_r800000_f4,sra_c70_r800000_f4,kW_c70_r800000_f4,sra_c80_r800000_f4,kW_c80_r800000_f4,sra_c90_r800000_f4,kW_c90_r800000_f4,sra_c100_r800000_f4,kW_c100_r800000_f4,sra_c10_r900000_f4,kW_c10_r900000_f4,sra_c20_r900000_f4,kW_c20_r900000_f4,sra_c30_r900000_f4,kW_c30_r900000_f4,sra_c40_r900000_f4,kW_c40_r900000_f4,sra_c50_r900000_f4,kW_c50_r900000_f4,sra_c60_r900000_f4,kW_c60_r900000_f4,sra_c70_r900000_f4,kW_c70_r900000_f4,sra_c80_r900000_f4,kW_c80_r900000_f4,sra_c90_r900000_f4,kW_c90_r900000_f4,sra_c100_r900000_f4,kW_c100_r900000_f4,sra_c10_r600000_f5,kW_c10_r600000_f5,sra_c20_r600000_f5,kW_c20_r600000_f5,sra_c30_r600000_f5,kW_c30_r600000_f5,sra_c40_r600000_f5,kW_c40_r600000_f5,sra_c50_r600000_f5,kW_c50_r600000_f5,sra_c60_r600000_f5,kW_c60_r600000_f5,sra_c70_r600000_f5,kW_c70_r600000_f5,sra_c80_r600000_f5,kW_c80_r600000_f5,sra_c90_r600000_f5,kW_c90_r600000_f5,sra_c100_r600000_f5,kW_c100_r600000_f5,sra_c10_r700000_f5,kW_c10_r700000_f5,sra_c20_r700000_f5,kW_c20_r700000_f5,sra_c30_r700000_f5,kW_c30_r700000_f5,sra_c40_r700000_f5,kW_c40_r700000_f5,sra_c50_r700000_f5,kW_c50_r700000_f5,sra_c60_r700000_f5,kW_c60_r700000_f5,sra_c70_r700000_f5,kW_c70_r700000_f5,sra_c80_r700000_f5,kW_c80_r700000_f5,sra_c90_r700000_f5,kW_c90_r700000_f5,sra_c100_r700000_f5,kW_c100_r700000_f5,sra_c10_r800000_f5,kW_c10_r800000_f5,sra_c20_r800000_f5,kW_c20_r800000_f5,sra_c30_r800000_f5,kW_c30_r800000_f5,sra_c40_r800000_f5,kW_c40_r800000_f5,sra_c50_r800000_f5,kW_c50_r800000_f5,sra_c60_r800000_f5,kW_c60_r800000_f5,sra_c70_r800000_f5,kW_c70_r800000_f5,sra_c80_r800000_f5,kW_c80_r800000_f5,sra_c90_r800000_f5,kW_c90_r800000_f5,sra_c100_r800000_f5,kW_c100_r800000_f5,sra_c10_r900000_f5,kW_c10_r900000_f5,sra_c20_r900000_f5,kW_c20_r900000_f5,sra_c30_r900000_f5,kW_c30_r900000_f5,sra_c40_r900000_f5,kW_c40_r900000_f5,sra_c50_r900000_f5,kW_c50_r900000_f5,sra_c60_r900000_f5,kW_c60_r900000_f5,sra_c70_r900000_f5,kW_c70_r900000_f5,sra_c80_r900000_f5,kW_c80_r900000_f5,sra_c90_r900000_f5,kW_c90_r900000_f5,sra_c100_r900000_f5,kW_c100_r900000_f5,sra_c10_r600000_f6,kW_c10_r600000_f6,sra_c20_r600000_f6,kW_c20_r600000_f6,sra_c30_r600000_f6,kW_c30_r600000_f6,sra_c40_r600000_f6,kW_c40_r600000_f6,sra_c50_r600000_f6,kW_c50_r600000_f6,sra_c60_r600000_f6,kW_c60_r600000_f6,sra_c70_r600000_f6,kW_c70_r600000_f6,sra_c80_r600000_f6,kW_c80_r600000_f6,sra_c90_r600000_f6,kW_c90_r600000_f6,sra_c100_r600000_f6,kW_c100_r600000_f6,sra_c10_r700000_f6,kW_c10_r700000_f6,sra_c20_r700000_f6,kW_c20_r700000_f6,sra_c30_r700000_f6,kW_c30_r700000_f6,sra_c40_r700000_f6,kW_c40_r700000_f6,sra_c50_r700000_f6,kW_c50_r700000_f6,sra_c60_r700000_f6,kW_c60_r700000_f6,sra_c70_r700000_f6,kW_c70_r700000_f6,sra_c80_r700000_f6,kW_c80_r700000_f6,sra_c90_r700000_f6,kW_c90_r700000_f6,sra_c100_r700000_f6,kW_c100_r700000_f6,sra_c10_r800000_f6,kW_c10_r800000_f6,sra_c20_r800000_f6,kW_c20_r800000_f6,sra_c30_r800000_f6,kW_c30_r800000_f6,sra_c40_r800000_f6,kW_c40_r800000_f6,sra_c50_r800000_f6,kW_c50_r800000_f6,sra_c60_r800000_f6,kW_c60_r800000_f6,sra_c70_r800000_f6,kW_c70_r800000_f6,sra_c80_r800000_f6,kW_c80_r800000_f6,sra_c90_r800000_f6,kW_c90_r800000_f6,sra_c100_r800000_f6,kW_c100_r800000_f6,sra_c10_r900000_f6,kW_c10_r900000_f6,sra_c20_r900000_f6,kW_c20_r900000_f6,sra_c30_r900000_f6,kW_c30_r900000_f6,sra_c40_r900000_f6,kW_c40_r900000_f6,sra_c50_r900000_f6,kW_c50_r900000_f6,sra_c60_r900000_f6,kW_c60_r900000_f6,sra_c70_r900000_f6,kW_c70_r900000_f6,sra_c80_r900000_f6,kW_c80_r900000_f6,sra_c90_r900000_f6,kW_c90_r900000_f6,sra_c100_r900000_f6,kW_c100_r900000_f6,sra_c10_r600000_f7,kW_c10_r600000_f7,sra_c20_r600000_f7,kW_c20_r600000_f7,sra_c30_r600000_f7,kW_c30_r600000_f7,sra_c40_r600000_f7,kW_c40_r600000_f7,sra_c50_r600000_f7,kW_c50_r600000_f7,sra_c60_r600000_f7,kW_c60_r600000_f7,sra_c70_r600000_f7,kW_c70_r600000_f7,sra_c80_r600000_f7,kW_c80_r600000_f7,sra_c90_r600000_f7,kW_c90_r600000_f7,sra_c100_r600000_f7,kW_c100_r600000_f7,sra_c10_r700000_f7,kW_c10_r700000_f7,sra_c20_r700000_f7,kW_c20_r700000_f7,sra_c30_r700000_f7,kW_c30_r700000_f7,sra_c40_r700000_f7,kW_c40_r700000_f7,sra_c50_r700000_f7,kW_c50_r700000_f7,sra_c60_r700000_f7,kW_c60_r700000_f7,sra_c70_r700000_f7,kW_c70_r700000_f7,sra_c80_r700000_f7,kW_c80_r700000_f7,sra_c90_r700000_f7,kW_c90_r700000_f7,sra_c100_r700000_f7,kW_c100_r700000_f7,sra_c10_r800000_f7,kW_c10_r800000_f7,sra_c20_r800000_f7,kW_c20_r800000_f7,sra_c30_r800000_f7,kW_c30_r800000_f7,sra_c40_r800000_f7,kW_c40_r800000_f7,sra_c50_r800000_f7,kW_c50_r800000_f7,sra_c60_r800000_f7,kW_c60_r800000_f7,sra_c70_r800000_f7,kW_c70_r800000_f7,sra_c80_r800000_f7,kW_c80_r800000_f7,sra_c90_r800000_f7,kW_c90_r800000_f7,sra_c100_r800000_f7,kW_c100_r800000_f7,sra_c10_r900000_f7,kW_c10_r900000_f7,sra_c20_r900000_f7,kW_c20_r900000_f7,sra_c30_r900000_f7,kW_c30_r900000_f7,sra_c40_r900000_f7,kW_c40_r900000_f7,sra_c50_r900000_f7,kW_c50_r900000_f7,sra_c60_r900000_f7,kW_c60_r900000_f7,sra_c70_r900000_f7,kW_c70_r900000_f7,sra_c80_r900000_f7,kW_c80_r900000_f7,sra_c90_r900000_f7,kW_c90_r900000_f7,sra_c100_r900000_f7,kW_c100_r900000_f7,sra_c10_r600000_f8,kW_c10_r600000_f8,sra_c20_r600000_f8,kW_c20_r600000_f8,sra_c30_r600000_f8,kW_c30_r600000_f8,sra_c40_r600000_f8,kW_c40_r600000_f8,sra_c50_r600000_f8,kW_c50_r600000_f8,sra_c60_r600000_f8,kW_c60_r600000_f8,sra_c70_r600000_f8,kW_c70_r600000_f8,sra_c80_r600000_f8,kW_c80_r600000_f8,sra_c90_r600000_f8,kW_c90_r600000_f8,sra_c100_r600000_f8,kW_c100_r600000_f8,sra_c10_r700000_f8,kW_c10_r700000_f8,sra_c20_r700000_f8,kW_c20_r700000_f8,sra_c30_r700000_f8,kW_c30_r700000_f8,sra_c40_r700000_f8,kW_c40_r700000_f8,sra_c50_r700000_f8,kW_c50_r700000_f8,sra_c60_r700000_f8,kW_c60_r700000_f8,sra_c70_r700000_f8,kW_c70_r700000_f8,sra_c80_r700000_f8,kW_c80_r700000_f8,sra_c90_r700000_f8,kW_c90_r700000_f8,sra_c100_r700000_f8,kW_c100_r700000_f8,sra_c10_r800000_f8,kW_c10_r800000_f8,sra_c20_r800000_f8,kW_c20_r800000_f8,sra_c30_r800000_f8,kW_c30_r800000_f8,sra_c40_r800000_f8,kW_c40_r800000_f8,sra_c50_r800000_f8,kW_c50_r800000_f8,sra_c60_r800000_f8,kW_c60_r800000_f8,sra_c70_r800000_f8,kW_c70_r800000_f8,sra_c80_r800000_f8,kW_c80_r800000_f8,sra_c90_r800000_f8,kW_c90_r800000_f8,sra_c100_r800000_f8,kW_c100_r800000_f8,sra_c10_r900000_f8,kW_c10_r900000_f8,sra_c20_r900000_f8,kW_c20_r900000_f8,sra_c30_r900000_f8,kW_c30_r900000_f8,sra_c40_r900000_f8,kW_c40_r900000_f8,sra_c50_r900000_f8,kW_c50_r900000_f8,sra_c60_r900000_f8,kW_c60_r900000_f8,sra_c70_r900000_f8,kW_c70_r900000_f8,sra_c80_r900000_f8,kW_c80_r900000_f8,sra_c90_r900000_f8,kW_c90_r900000_f8,sra_c100_r900000_f8,kW_c100_r900000_f8
1,Polygon,1000002685062340,96.610823,546.78075,245,36.75,283,42.45,295,44.25,298,44.7,307,46.05,307,46.05,310,46.5,310,46.5,311,46.65,314,47.1,245,36.75,283,42.45,295,44.25,297,44.55,302,45.3,304,45.6,307,46.05,307,46.05,308,46.2,310,46.5,245,36.75,279,41.85,291,43.65,293,43.95,298,44.7,300,45,302,45.3,302,45.3,302,45.3,304,45.6,223,33.45,258,38.7,267,40.05,270,40.5,274,41.1,276,41.4,278,41.7,278,41.7,278,41.7,279,41.85,202,30.3,245,36.75,264,39.6,268,40.2,272,40.8,279,41.85,283,42.45,283,42.45,284,42.6,287,43.05,202,30.3,244,36.6,263,39.45,265,39.75,267,40.05,272,40.8,276,41.4,276,41.4,277,41.55,278,41.7,198,29.7,240,36,257,38.55,259,38.85,261,39.15,266,39.9,270,40.5,270,40.5,270,40.5,271,40.65,181,27.15,221,33.15,236,35.4,237,35.55,237,35.55,237,35.55,239,35.85,239,35.85,239,35.85,239,35.85,159,23.85,223,33.45,236,35.4,245,36.75,246,36.9,251,37.65,253,37.95,253,37.95,254,38.1,256,38.4,159,23.85,222,33.3,235,35.25,244,36.6,245,36.75,250,37.5,252,37.8,252,37.8,253,37.95,255,38.25,156,23.4,219,32.85,232,34.8,241,36.15,242,36.3,247,37.05,247,37.05,247,37.05,247,37.05,249,37.35,146,21.9,198,29.7,212,31.8,220,33,222,33.3,224,33.6,224,33.6,224,33.6,224,33.6,226,33.9,125,18.75,192,28.8,214,32.1,219,32.85,220,33,226,33.9,227,34.05,227,34.05,227,34.05,230,34.5,125,18.75,191,28.65,213,31.95,217,32.55,217,32.55,223,33.45,224,33.6,224,33.6,224,33.6,227,34.05,124,18.6,189,28.35,211,31.65,215,32.25,215,32.25,221,33.15,221,33.15,221,33.15,221,33.15,224,33.6,116,17.4,178,26.7,192,28.8,194,29.1,195,29.25,198,29.7,198,29.7,198,29.7,198,29.7,199,29.85,79,11.85,171,25.65,186,27.9,191,28.65,194,29.1,196,29.4,196,29.4,196,29.4,196,29.4,198,29.7,79,11.85,170,25.5,185,27.75,188,28.2,190,28.5,192,28.8,192,28.8,192,28.8,192,28.8,194,29.1,76,11.4,165,24.75,180,27,183,27.45,185,27.75,187,28.05,187,28.05,187,28.05,187,28.05,189,28.35,72,10.8,146,21.9,162,24.3,164,24.6,164,24.6,165,24.75,165,24.75,165,24.75,165,24.75,166,24.9,42,6.3,139,20.85,166,24.9,169,25.35,170,25.5,171,25.65,173,25.95,173,25.95,173,25.95,176,26.4,42,6.3,139,20.85,166,24.9,168,25.2,169,25.35,170,25.5,172,25.8,172,25.8,172,25.8,175,26.25,41,6.15,136,20.4,163,24.45,165,24.75,166,24.9,167,25.05,167,25.05,167,25.05,167,25.05,170,25.5,40,6,119,17.85,145,21.75,145,21.75,145,21.75,145,21.75,145,21.75,145,21.75,145,21.75,147,22.05,15,2.25,84,12.6,140,21,151,22.65,151,22.65,152,22.8,152,22.8,152,22.8,152,22.8,154,23.1,15,2.25,83,12.45,139,20.85,150,22.5,150,22.5,151,22.65,151,22.65,151,22.65,151,22.65,153,22.95,15,2.25,81,12.15,137,20.55,148,22.2,148,22.2,149,22.35,149,22.35,149,22.35,149,22.35,151,22.65,15,2.25,73,10.95,119,17.85,129,19.35,129,19.35,129,19.35,129,19.35,129,19.35,129,19.35,130,19.5
2,Polygon,1000000157189480,37.41746,85.5515,5,0.75,17,2.55,20,3,21,3.15,21,3.15,23,3.45,28,4.2,31,4.65,32,4.8,39,5.85,5,0.75,16,2.4,19,2.85,20,3,20,3,22,3.3,25,3.75,28,4.2,29,4.35,31,4.65,<Null>,<Null>,11,1.65,14,2.1,15,2.25,15,2.25,18,2.7,18,2.7,22,3.3,25,3.75,27,4.05,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,0.6,8,1.2,8,1.2,10,1.5,10,1.5,12,1.8,15,2.25,17,2.55,21,3.15,25,3.75,4,0.6,8,1.2,8,1.2,10,1.5,10,1.5,12,1.8,13,1.95,15,2.25,19,2.85,21,3.15,<Null>,<Null>,3,0.45,4,0.6,6,0.9,6,0.9,8,1.2,8,1.2,12,1.8,14,2.1,16,2.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,0.3,3,0.45,3,0.45,3,0.45,4,0.6,10,1.5,13,1.95,13,1.95,16,2.4,<Null>,<Null>,2,0.3,3,0.45,3,0.45,3,0.45,4,0.6,10,1.5,13,1.95,13,1.95,14,2.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,4,0.6,6,0.9,7,1.05,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,1,0.15,2,0.3,5,0.75,7,1.05,9,1.35,11,1.65,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,1,0.15,2,0.3,3,0.45,5,0.75,7,1.05,8,1.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,0.45,3,0.45,3,0.45,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,3,0.45,3,0.45,4,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,3,0.45,3,0.45,3,0.45,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,0.3,2,0.3,2,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,0.3,2,0.3,2,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
3,Polygon,1000000157189640,36.735042,81.74325,1,0.15,9,1.35,22,3.3,25,3.75,27,4.05,27,4.05,29,4.35,29,4.35,30,4.5,30,4.5,1,0.15,9,1.35,22,3.3,25,3.75,27,4.05,27,4.05,27,4.05,27,4.05,28,4.2,28,4.2,1,0.15,9,1.35,20,3,25,3.75,25,3.75,25,3.75,25,3.75,25,3.75,26,3.9,26,3.9,<Null>,<Null>,1,0.15,12,1.8,16,2.4,16,2.4,16,2.4,16,2.4,16,2.4,16,2.4,16,2.4,<Null>,<Null>,3,0.45,12,1.8,15,2.25,16,2.4,18,2.7,19,2.85,19,2.85,22,3.3,22,3.3,<Null>,<Null>,3,0.45,12,1.8,15,2.25,16,2.4,16,2.4,19,2.85,19,2.85,20,3,20,3,<Null>,<Null>,3,0.45,12,1.8,13,1.95,13,1.95,13,1.95,16,2.4,16,2.4,17,2.55,17,2.55,<Null>,<Null>,<Null>,<Null>,6,0.9,7,1.05,7,1.05,7,1.05,7,1.05,7,1.05,7,1.05,7,1.05,<Null>,<Null>,<Null>,<Null>,4,0.6,10,1.5,12,1.8,12,1.8,14,2.1,14,2.1,16,2.4,16,2.4,<Null>,<Null>,<Null>,<Null>,4,0.6,10,1.5,12,1.8,12,1.8,12,1.8,12,1.8,14,2.1,14,2.1,<Null>,<Null>,<Null>,<Null>,4,0.6,10,1.5,10,1.5,10,1.5,10,1.5,10,1.5,12,1.8,12,1.8,<Null>,<Null>,<Null>,<Null>,2,0.3,5,0.75,5,0.75,5,0.75,5,0.75,5,0.75,5,0.75,5,0.75,<Null>,<Null>,<Null>,<Null>,2,0.3,2,0.3,2,0.3,3,0.45,3,0.45,3,0.45,6,0.9,6,0.9,<Null>,<Null>,<Null>,<Null>,2,0.3,2,0.3,2,0.3,2,0.3,3,0.45,3,0.45,4,0.6,4,0.6,<Null>,<Null>,<Null>,<Null>,2,0.3,2,0.3,2,0.3,2,0.3,3,0.45,3,0.45,4,0.6,4,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,0.45,3,0.45,3,0.45,3,0.45,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,0.3,2,0.3,2,0.3,2,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,0.3,2,0.3,2,0.3,2,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
