ADDRESS0,UPRN,Panel no,kW,Distance,sra_c10_r600000_f2,kW_c10_r600000_f2,sra_c20_r600000_f2,kW_c20_r600000_f2,sra_c30_r600000_f2,kW_c30_r600000_f2,sra_c40_r600000_f2,kW_c40_r600000_f2,sra_c50_r600000_f2,kW_c50_r600000_f2,sra_c60_r600000_f2,kW_c60_r600000_f2,sra_c70_r600000_f2,kW_c70_r600000_f2,sra_c80_r600000_f2,kW_c80_r600000_f2,sra_c90_r600000_f2,kW_c90_r600000_f2,sra_c100_r600000_f2,kW_c100_r600000_f2,sra_c10_r700000_f2,kW_c10_r700000_f2,sra_c20_r700000_f2,kW_c20_r700000_f2,sra_c30_r700000_f2,kW_c30_r700000_f2,sra_c40_r700000_f2,kW_c40_r700000_f2,sra_c50_r700000_f2,kW_c50_r700000_f2,sra_c60_r700000_f2,kW_c60_r700000_f2,sra_c70_r700000_f2,kW_c70_r700000_f2,sra_c80_r700000_f2,kW_c80_r700000_f2,sra_c90_r700000_f2,kW_c90_r700000_f2,sra_c100_r700000_f2,kW_c100_r700000_f2,sra_c10_r800000_f2,kW_c10_r800000_f2,sra_c20_r800000_f2,kW_c20_r800000_f2,sra_c30_r800000_f2,kW_c30_r800000_f2,sra_c40_r800000_f2,kW_c40_r800000_f2,sra_c50_r800000_f2,kW_c50_r800000_f2,sra_c60_r800000_f2,kW_c60_r800000_f2,sra_c70_r800000_f2,kW_c70_r800000_f2,sra_c80_r800000_f2,kW_c80_r800000_f2,sra_c90_r800000_f2,kW_c90_r800000_f2,sra_c100_r800000_f2,kW_c100_r800000_f2,sra_c10_r900000_f2,kW_c10_r900000_f2,sra_c20_r900000_f2,kW_c20_r900000_f2,sra_c30_r900000_f2,kW_c30_r900000_f2,sra_c40_r900000_f2,kW_c40_r900000_f2,sra_c50_r900000_f2,kW_c50_r900000_f2,sra_c60_r900000_f2,kW_c60_r900000_f2,sra_c70_r900000_f2,kW_c70_r900000_f2,sra_c80_r900000_f2,kW_c80_r900000_f2,sra_c90_r900000_f2,kW_c90_r900000_f2,sra_c100_r900000_f2,kW_c100_r900000_f2,sra_c10_r600000_f3,kW_c10_r600000_f3,sra_c20_r600000_f3,kW_c20_r600000_f3,sra_c30_r600000_f3,kW_c30_r600000_f3,sra_c40_r600000_f3,kW_c40_r600000_f3,sra_c50_r600000_f3,kW_c50_r600000_f3,sra_c60_r600000_f3,kW_c60_r600000_f3,sra_c70_r600000_f3,kW_c70_r600000_f3,sra_c80_r600000_f3,kW_c80_r600000_f3,sra_c90_r600000_f3,kW_c90_r600000_f3,sra_c100_r600000_f3,kW_c100_r600000_f3,sra_c10_r700000_f3,kW_c10_r700000_f3,sra_c20_r700000_f3,kW_c20_r700000_f3,sra_c30_r700000_f3,kW_c30_r700000_f3,sra_c40_r700000_f3,kW_c40_r700000_f3,sra_c50_r700000_f3,kW_c50_r700000_f3,sra_c60_r700000_f3,kW_c60_r700000_f3,sra_c70_r700000_f3,kW_c70_r700000_f3,sra_c80_r700000_f3,kW_c80_r700000_f3,sra_c90_r700000_f3,kW_c90_r700000_f3,sra_c100_r700000_f3,kW_c100_r700000_f3,sra_c10_r800000_f3,kW_c10_r800000_f3,sra_c20_r800000_f3,kW_c20_r800000_f3,sra_c30_r800000_f3,kW_c30_r800000_f3,sra_c40_r800000_f3,kW_c40_r800000_f3,sra_c50_r800000_f3,kW_c50_r800000_f3,sra_c60_r800000_f3,kW_c60_r800000_f3,sra_c70_r800000_f3,kW_c70_r800000_f3,sra_c80_r800000_f3,kW_c80_r800000_f3,sra_c90_r800000_f3,kW_c90_r800000_f3,sra_c100_r800000_f3,kW_c100_r800000_f3,sra_c10_r900000_f3,kW_c10_r900000_f3,sra_c20_r900000_f3,kW_c20_r900000_f3,sra_c30_r900000_f3,kW_c30_r900000_f3,sra_c40_r900000_f3,kW_c40_r900000_f3,sra_c50_r900000_f3,kW_c50_r900000_f3,sra_c60_r900000_f3,kW_c60_r900000_f3,sra_c70_r900000_f3,kW_c70_r900000_f3,sra_c80_r900000_f3,kW_c80_r900000_f3,sra_c90_r900000_f3,kW_c90_r900000_f3,sra_c100_r900000_f3,kW_c100_r900000_f3,sra_c10_r600000_f4,kW_c10_r600000_f4,sra_c20_r600000_f4,kW_c20_r600000_f4,sra_c30_r600000_f4,kW_c30_r600000_f4,sra_c40_r600000_f4,kW_c40_r600000_f4,sra_c50_r600000_f4,kW_c50_r600000_f4,sra_c60_r600000_f4,kW_c60_r600000_f4,sra_c70_r600000_f4,kW_c70_r600000_f4,sra_c80_r600000_f4,kW_c80_r600000_f4,sra_c90_r600000_f4,kW_c90_r600000_f4,sra_c100_r600000_f4,kW_c100_r600000_f4,sra_c10_r700000_f4,kW_c10_r700000_f4,sra_c20_r700000_f4,kW_c20_r700000_f4,sra_c30_r700000_f4,kW_c30_r700000_f4,sra_c40_r700000_f4,kW_c40_r700000_f4,sra_c50_r700000_f4,kW_c50_r700000_f4,sra_c60_r700000_f4,kW_c60_r700000_f4,sra_c70_r700000_f4,kW_c70_r700000_f4,sra_c80_r700000_f4,kW_c80_r700000_f4,sra_c90_r700000_f4,kW_c90_r700000_f4,sra_c100_r700000_f4,kW_c100_r700000_f4,sra_c10_r800000_f4,kW_c10_r800000_f4,sra_c20_r800000_f4,kW_c20_r800000_f4,sra_c30_r800000_f4,kW_c30_r800000_f4,sra_c40_r800000_f4,kW_c40_r800000_f4,sra_c50_r800000_f4,kW_c50_r800000_f4,sra_c60_r800000_f4,kW_c60_r800000_f4,sra_c70_r800000_f4,kW_c70_r800000_f4,sra_c80_r800000_f4,kW_c80_r800000_f4,sra_c90_r800000_f4,kW_c90_r800000_f4,sra_c100_r800000_f4,kW_c100_r800000_f4,sra_c10_r900000_f4,kW_c10_r900000_f4,sra_c20_r900000_f4,kW_c20_r900000_f4,sra_c30_r900000_f4,kW_c30_r900000_f4,sra_c40_r900000_f4,kW_c40_r900000_f4,sra_c50_r900000_f4,kW_c50_r900000_f4,sra_c60_r900000_f4,kW_c60_r900000_f4,sra_c70_r900000_f4,kW_c70_r900000_f4,sra_c80_r900000_f4,kW_c80_r900000_f4,sra_c90_r900000_f4,kW_c90_r900000_f4,sra_c100_r900000_f4,kW_c100_r900000_f4,sra_c10_r600000_f5,kW_c10_r600000_f5,sra_c20_r600000_f5,kW_c20_r600000_f5,sra_c30_r600000_f5,kW_c30_r600000_f5,sra_c40_r600000_f5,kW_c40_r600000_f5,sra_c50_r600000_f5,kW_c50_r600000_f5,sra_c60_r600000_f5,kW_c60_r600000_f5,sra_c70_r600000_f5,kW_c70_r600000_f5,sra_c80_r600000_f5,kW_c80_r600000_f5,sra_c90_r600000_f5,kW_c90_r600000_f5,sra_c100_r600000_f5,kW_c100_r600000_f5,sra_c10_r700000_f5,kW_c10_r700000_f5,sra_c20_r700000_f5,kW_c20_r700000_f5,sra_c30_r700000_f5,kW_c30_r700000_f5,sra_c40_r700000_f5,kW_c40_r700000_f5,sra_c50_r700000_f5,kW_c50_r700000_f5,sra_c60_r700000_f5,kW_c60_r700000_f5,sra_c70_r700000_f5,kW_c70_r700000_f5,sra_c80_r700000_f5,kW_c80_r700000_f5,sra_c90_r700000_f5,kW_c90_r700000_f5,sra_c100_r700000_f5,kW_c100_r700000_f5,sra_c10_r800000_f5,kW_c10_r800000_f5,sra_c20_r800000_f5,kW_c20_r800000_f5,sra_c30_r800000_f5,kW_c30_r800000_f5,sra_c40_r800000_f5,kW_c40_r800000_f5,sra_c50_r800000_f5,kW_c50_r800000_f5,sra_c60_r800000_f5,kW_c60_r800000_f5,sra_c70_r800000_f5,kW_c70_r800000_f5,sra_c80_r800000_f5,kW_c80_r800000_f5,sra_c90_r800000_f5,kW_c90_r800000_f5,sra_c100_r800000_f5,kW_c100_r800000_f5,sra_c10_r900000_f5,kW_c10_r900000_f5,sra_c20_r900000_f5,kW_c20_r900000_f5,sra_c30_r900000_f5,kW_c30_r900000_f5,sra_c40_r900000_f5,kW_c40_r900000_f5,sra_c50_r900000_f5,kW_c50_r900000_f5,sra_c60_r900000_f5,kW_c60_r900000_f5,sra_c70_r900000_f5,kW_c70_r900000_f5,sra_c80_r900000_f5,kW_c80_r900000_f5,sra_c90_r900000_f5,kW_c90_r900000_f5,sra_c100_r900000_f5,kW_c100_r900000_f5,sra_c10_r600000_f6,kW_c10_r600000_f6,sra_c20_r600000_f6,kW_c20_r600000_f6,sra_c30_r600000_f6,kW_c30_r600000_f6,sra_c40_r600000_f6,kW_c40_r600000_f6,sra_c50_r600000_f6,kW_c50_r600000_f6,sra_c60_r600000_f6,kW_c60_r600000_f6,sra_c70_r600000_f6,kW_c70_r600000_f6,sra_c80_r600000_f6,kW_c80_r600000_f6,sra_c90_r600000_f6,kW_c90_r600000_f6,sra_c100_r600000_f6,kW_c100_r600000_f6,sra_c10_r700000_f6,kW_c10_r700000_f6,sra_c20_r700000_f6,kW_c20_r700000_f6,sra_c30_r700000_f6,kW_c30_r700000_f6,sra_c40_r700000_f6,kW_c40_r700000_f6,sra_c50_r700000_f6,kW_c50_r700000_f6,sra_c60_r700000_f6,kW_c60_r700000_f6,sra_c70_r700000_f6,kW_c70_r700000_f6,sra_c80_r700000_f6,kW_c80_r700000_f6,sra_c90_r700000_f6,kW_c90_r700000_f6,sra_c100_r700000_f6,kW_c100_r700000_f6,sra_c10_r800000_f6,kW_c10_r800000_f6,sra_c20_r800000_f6,kW_c20_r800000_f6,sra_c30_r800000_f6,kW_c30_r800000_f6,sra_c40_r800000_f6,kW_c40_r800000_f6,sra_c50_r800000_f6,kW_c50_r800000_f6,sra_c60_r800000_f6,kW_c60_r800000_f6,sra_c70_r800000_f6,kW_c70_r800000_f6,sra_c80_r800000_f6,kW_c80_r800000_f6,sra_c90_r800000_f6,kW_c90_r800000_f6,sra_c100_r800000_f6,kW_c100_r800000_f6,sra_c10_r900000_f6,kW_c10_r900000_f6,sra_c20_r900000_f6,kW_c20_r900000_f6,sra_c30_r900000_f6,kW_c30_r900000_f6,sra_c40_r900000_f6,kW_c40_r900000_f6,sra_c50_r900000_f6,kW_c50_r900000_f6,sra_c60_r900000_f6,kW_c60_r900000_f6,sra_c70_r900000_f6,kW_c70_r900000_f6,sra_c80_r900000_f6,kW_c80_r900000_f6,sra_c90_r900000_f6,kW_c90_r900000_f6,sra_c100_r900000_f6,kW_c100_r900000_f6,sra_c10_r600000_f7,kW_c10_r600000_f7,sra_c20_r600000_f7,kW_c20_r600000_f7,sra_c30_r600000_f7,kW_c30_r600000_f7,sra_c40_r600000_f7,kW_c40_r600000_f7,sra_c50_r600000_f7,kW_c50_r600000_f7,sra_c60_r600000_f7,kW_c60_r600000_f7,sra_c70_r600000_f7,kW_c70_r600000_f7,sra_c80_r600000_f7,kW_c80_r600000_f7,sra_c90_r600000_f7,kW_c90_r600000_f7,sra_c100_r600000_f7,kW_c100_r600000_f7,sra_c10_r700000_f7,kW_c10_r700000_f7,sra_c20_r700000_f7,kW_c20_r700000_f7,sra_c30_r700000_f7,kW_c30_r700000_f7,sra_c40_r700000_f7,kW_c40_r700000_f7,sra_c50_r700000_f7,kW_c50_r700000_f7,sra_c60_r700000_f7,kW_c60_r700000_f7,sra_c70_r700000_f7,kW_c70_r700000_f7,sra_c80_r700000_f7,kW_c80_r700000_f7,sra_c90_r700000_f7,kW_c90_r700000_f7,sra_c100_r700000_f7,kW_c100_r700000_f7,sra_c10_r800000_f7,kW_c10_r800000_f7,sra_c20_r800000_f7,kW_c20_r800000_f7,sra_c30_r800000_f7,kW_c30_r800000_f7,sra_c40_r800000_f7,kW_c40_r800000_f7,sra_c50_r800000_f7,kW_c50_r800000_f7,sra_c60_r800000_f7,kW_c60_r800000_f7,sra_c70_r800000_f7,kW_c70_r800000_f7,sra_c80_r800000_f7,kW_c80_r800000_f7,sra_c90_r800000_f7,kW_c90_r800000_f7,sra_c100_r800000_f7,kW_c100_r800000_f7,sra_c10_r900000_f7,kW_c10_r900000_f7,sra_c20_r900000_f7,kW_c20_r900000_f7,sra_c30_r900000_f7,kW_c30_r900000_f7,sra_c40_r900000_f7,kW_c40_r900000_f7,sra_c50_r900000_f7,kW_c50_r900000_f7,sra_c60_r900000_f7,kW_c60_r900000_f7,sra_c70_r900000_f7,kW_c70_r900000_f7,sra_c80_r900000_f7,kW_c80_r900000_f7,sra_c90_r900000_f7,kW_c90_r900000_f7,sra_c100_r900000_f7,kW_c100_r900000_f7,sra_c10_r600000_f8,kW_c10_r600000_f8,sra_c20_r600000_f8,kW_c20_r600000_f8,sra_c30_r600000_f8,kW_c30_r600000_f8,sra_c40_r600000_f8,kW_c40_r600000_f8,sra_c50_r600000_f8,kW_c50_r600000_f8,sra_c60_r600000_f8,kW_c60_r600000_f8,sra_c70_r600000_f8,kW_c70_r600000_f8,sra_c80_r600000_f8,kW_c80_r600000_f8,sra_c90_r600000_f8,kW_c90_r600000_f8,sra_c100_r600000_f8,kW_c100_r600000_f8,sra_c10_r700000_f8,kW_c10_r700000_f8,sra_c20_r700000_f8,kW_c20_r700000_f8,sra_c30_r700000_f8,kW_c30_r700000_f8,sra_c40_r700000_f8,kW_c40_r700000_f8,sra_c50_r700000_f8,kW_c50_r700000_f8,sra_c60_r700000_f8,kW_c60_r700000_f8,sra_c70_r700000_f8,kW_c70_r700000_f8,sra_c80_r700000_f8,kW_c80_r700000_f8,sra_c90_r700000_f8,kW_c90_r700000_f8,sra_c100_r700000_f8,kW_c100_r700000_f8,sra_c10_r800000_f8,kW_c10_r800000_f8,sra_c20_r800000_f8,kW_c20_r800000_f8,sra_c30_r800000_f8,kW_c30_r800000_f8,sra_c40_r800000_f8,kW_c40_r800000_f8,sra_c50_r800000_f8,kW_c50_r800000_f8,sra_c60_r800000_f8,kW_c60_r800000_f8,sra_c70_r800000_f8,kW_c70_r800000_f8,sra_c80_r800000_f8,kW_c80_r800000_f8,sra_c90_r800000_f8,kW_c90_r800000_f8,sra_c100_r800000_f8,kW_c100_r800000_f8,sra_c10_r900000_f8,kW_c10_r900000_f8,sra_c20_r900000_f8,kW_c20_r900000_f8,sra_c30_r900000_f8,kW_c30_r900000_f8,sra_c40_r900000_f8,kW_c40_r900000_f8,sra_c50_r900000_f8,kW_c50_r900000_f8,sra_c60_r900000_f8,kW_c60_r900000_f8,sra_c70_r900000_f8,kW_c70_r900000_f8,sra_c80_r900000_f8,kW_c80_r900000_f8,sra_c90_r900000_f8,kW_c90_r900000_f8,sra_c100_r900000_f8,kW_c100_r900000_f8,Area_ID
27 Whistler Road,1.00E+11,10,2.5,0,21,3.15,34,5.1,37,5.55,37,5.55,38,5.7,38,5.7,38,5.7,38,5.7,38,5.7,38,5.7,18,2.7,30,4.5,34,5.1,34,5.1,35,5.25,35,5.25,35,5.25,35,5.25,35,5.25,35,5.25,11,1.65,20,3,21,3.15,21,3.15,25,3.75,27,4.05,28,4.2,28,4.2,29,4.35,29,4.35,7,1.05,16,2.4,17,2.55,17,2.55,19,2.85,20,3,21,3.15,21,3.15,21,3.15,22,3.3,8,1.2,26,3.9,27,4.05,27,4.05,34,5.1,35,5.25,35,5.25,35,5.25,36,5.4,36,5.4,6,0.9,20,3,23,3.45,23,3.45,28,4.2,29,4.35,29,4.35,30,4.5,31,4.65,32,4.8,4,0.6,13,1.95,15,2.25,15,2.25,18,2.7,18,2.7,21,3.15,23,3.45,24,3.6,24,3.6,3,0.45,9,1.35,10,1.5,10,1.5,12,1.8,13,1.95,15,2.25,17,2.55,17,2.55,18,2.7,4,0.6,14,2.1,19,2.85,19,2.85,22,3.3,24,3.6,25,3.75,27,4.05,28,4.2,29,4.35,3,0.45,13,1.95,16,2.4,16,2.4,20,3,22,3.3,23,3.45,25,3.75,26,3.9,26,3.9,3,0.45,7,1.05,8,1.2,8,1.2,13,1.95,15,2.25,16,2.4,17,2.55,17,2.55,19,2.85,<Null>,<Null>,5,0.75,6,0.9,6,0.9,7,1.05,9,1.35,10,1.5,11,1.65,11,1.65,12,1.8,<Null>,<Null>,7,1.05,9,1.35,9,1.35,16,2.4,19,2.85,22,3.3,23,3.45,24,3.6,25,3.75,<Null>,<Null>,4,0.6,7,1.05,7,1.05,13,1.95,16,2.4,19,2.85,20,3,21,3.15,22,3.3,<Null>,<Null>,3,0.45,3,0.45,3,0.45,8,1.2,10,1.5,12,1.8,13,1.95,15,2.25,15,2.25,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,0.45,5,0.75,6,0.9,7,1.05,7,1.05,9,1.35,<Null>,<Null>,2,0.3,4,0.6,4,0.6,8,1.2,9,1.35,13,1.95,16,2.4,17,2.55,20,3,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,5,0.75,6,0.9,10,1.5,12,1.8,13,1.95,16,2.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,0.6,5,0.75,6,0.9,7,1.05,7,1.05,10,1.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,2,0.3,2,0.3,2,0.3,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,2,0.3,3,0.45,4,0.6,4,0.6,4,0.6,5,0.75,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,2,0.3,3,0.45,3,0.45,3,0.45,4,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,2,0.3,2,0.3,2,0.3,2,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,650
31 Whistler Road,1.00E+11,10,2.5,0,23,3.45,28,4.2,35,5.25,35,5.25,35,5.25,35,5.25,35,5.25,35,5.25,35,5.25,35,5.25,12,1.8,19,2.85,28,4.2,30,4.5,32,4.8,32,4.8,32,4.8,32,4.8,32,4.8,32,4.8,9,1.35,11,1.65,12,1.8,17,2.55,20,3,20,3,22,3.3,23,3.45,23,3.45,24,3.6,9,1.35,10,1.5,11,1.65,15,2.25,18,2.7,18,2.7,20,3,21,3.15,21,3.15,22,3.3,10,1.5,16,2.4,22,3.3,26,3.9,29,4.35,29,4.35,29,4.35,29,4.35,29,4.35,29,4.35,6,0.9,9,1.35,14,2.1,22,3.3,24,3.6,24,3.6,25,3.75,26,3.9,26,3.9,26,3.9,3,0.45,8,1.2,9,1.35,12,1.8,15,2.25,15,2.25,17,2.55,19,2.85,19,2.85,20,3,3,0.45,4,0.6,5,0.75,8,1.2,12,1.8,12,1.8,13,1.95,15,2.25,15,2.25,16,2.4,4,0.6,9,1.35,14,2.1,19,2.85,24,3.6,24,3.6,27,4.05,27,4.05,27,4.05,27,4.05,2,0.3,6,0.9,9,1.35,11,1.65,18,2.7,18,2.7,22,3.3,23,3.45,23,3.45,23,3.45,1,0.15,2,0.3,2,0.3,5,0.75,8,1.2,8,1.2,10,1.5,12,1.8,12,1.8,15,2.25,1,0.15,1,0.15,1,0.15,4,0.6,6,0.9,6,0.9,8,1.2,10,1.5,10,1.5,13,1.95,1,0.15,1,0.15,3,0.45,10,1.5,14,2.1,14,2.1,18,2.7,20,3,20,3,21,3.15,1,0.15,1,0.15,3,0.45,7,1.05,9,1.35,9,1.35,11,1.65,15,2.25,15,2.25,18,2.7,<Null>,<Null>,1,0.15,1,0.15,2,0.3,3,0.45,3,0.45,4,0.6,6,0.9,6,0.9,8,1.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,1,0.15,2,0.3,4,0.6,4,0.6,6,0.9,<Null>,<Null>,1,0.15,1,0.15,3,0.45,4,0.6,4,0.6,5,0.75,12,1.8,12,1.8,16,2.4,<Null>,<Null>,1,0.15,1,0.15,3,0.45,3,0.45,3,0.45,4,0.6,7,1.05,7,1.05,11,1.65,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,2,0.3,2,0.3,3,0.45,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,0.45,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,650
18 Coxford Drove,1.00E+11,8,2,0,<Null>,<Null>,5,0.75,20,3,28,4.2,33,4.95,35,5.25,37,5.55,39,5.85,40,6,40,6,<Null>,<Null>,4,0.6,11,1.65,15,2.25,19,2.85,21,3.15,21,3.15,25,3.75,27,4.05,27,4.05,<Null>,<Null>,4,0.6,11,1.65,12,1.8,16,2.4,16,2.4,16,2.4,19,2.85,20,3,20,3,<Null>,<Null>,<Null>,<Null>,9,1.35,10,1.5,14,2.1,14,2.1,14,2.1,14,2.1,14,2.1,14,2.1,<Null>,<Null>,<Null>,<Null>,12,1.8,17,2.55,23,3.45,25,3.75,25,3.75,30,4.5,31,4.65,31,4.65,<Null>,<Null>,<Null>,<Null>,6,0.9,10,1.5,14,2.1,14,2.1,14,2.1,16,2.4,18,2.7,18,2.7,<Null>,<Null>,<Null>,<Null>,6,0.9,7,1.05,11,1.65,11,1.65,11,1.65,13,1.95,14,2.1,14,2.1,<Null>,<Null>,<Null>,<Null>,6,0.9,7,1.05,9,1.35,9,1.35,9,1.35,9,1.35,9,1.35,9,1.35,<Null>,<Null>,<Null>,<Null>,3,0.45,9,1.35,13,1.95,17,2.55,18,2.7,20,3,22,3.3,22,3.3,<Null>,<Null>,<Null>,<Null>,3,0.45,6,0.9,10,1.5,12,1.8,12,1.8,14,2.1,14,2.1,14,2.1,<Null>,<Null>,<Null>,<Null>,3,0.45,5,0.75,8,1.2,8,1.2,8,1.2,11,1.65,12,1.8,12,1.8,<Null>,<Null>,<Null>,<Null>,1,0.15,3,0.45,5,0.75,5,0.75,5,0.75,5,0.75,5,0.75,5,0.75,<Null>,<Null>,<Null>,<Null>,1,0.15,2,0.3,8,1.2,9,1.35,9,1.35,15,2.25,16,2.4,16,2.4,<Null>,<Null>,<Null>,<Null>,1,0.15,2,0.3,5,0.75,5,0.75,5,0.75,9,1.35,12,1.8,12,1.8,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,5,0.75,5,0.75,5,0.75,7,1.05,8,1.2,8,1.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,0.6,4,0.6,4,0.6,4,0.6,4,0.6,4,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7,1.05,7,1.05,7,1.05,8,1.2,9,1.35,9,1.35,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,0.6,4,0.6,4,0.6,5,0.75,5,0.75,5,0.75,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,0.45,3,0.45,3,0.45,4,0.6,4,0.6,4,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,1,0.15,5,0.75,7,1.05,7,1.05,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,0.45,4,0.6,4,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,0.45,4,0.6,4,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,0.3,2,0.3,2,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,0.15,1,0.15,1,0.15,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,134
